web-scraper-order,web-scraper-start-url,product-link,product-link-href,ad-id,Images,title,location,map-link,map-link-href,type,bedrooms,bathrooms,price,utilities,wifi,parking,agreement-type,move-in-date,pet-friendly,size,furnished,appliances,air-conditioning,person-outdoor-space,smoking,Posted-by,Posted-on,hydro,Heat,water,amenities
1655184396-4946,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,51/2 for rent!,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/51-2-for-rent/1620304676,Ad ID 1620304676,5,51/2 for rent!,"H8R2Z6, Canada",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/51-2-for-rent/1620304676#map,Duplex/Triplex,Bedrooms: 3,Bathrooms: 1,"$1,500 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,"1,000",No,AppliancesNot Included,No,Personal Outdoor SpaceYardBalcony,Outdoors only,Kijiji User,7 days ago,Yard,Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",null
1655189645-6684,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,1 Bedroom Apt.  (2 1/2),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bedroom-apt-2-1-2/1621050447,Ad ID 1621050447,4,1 Bedroom Apt.  (2 1/2),"5220 Queen Mary Road, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-bedroom-apt-2-1-2/1621050447#map,Apartment,Bedrooms: 1,Bathrooms: 1,$900 ,HydroHeatWater,Not Included,0,1 Year,12-Jun-22,null,350,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,a day ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655183357-4595,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 3 1/2 - Centre-Ville - Cession de bail - Tout inclus,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-centre-ville-cession-de-bail-tout-inclus/1620035014,Ad ID 1620035014,7,Grand 3 1/2 - Centre-Ville - Cession de bail - Tout inclus,"1090 Rue de Bleury, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-centre-ville-cession-de-bail-tout-inclus/1620035014#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,930 ",HydroHeatWater,Internet,0,1 Year,01-Aug-22,null,750,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceNot Included,No,Kijiji User,9 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655185339-5255,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"*** 4 1/2 CHAUFFÉ, NOUVELLE FENESTRATION, RÉNOVÉ - ROSEMONT ***",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-chauffe-nouvelle-fenestration-renove-rosemont/1599876885,Ad ID 1599876885,7,"*** 4 1/2 CHAUFFÉ, NOUVELLE FENESTRATION, RÉNOVÉ - ROSEMONT ***","Montréal, QC H1X 2J2",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-chauffe-nouvelle-fenestration-renove-rosemont/1599876885#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,050 ",HydroHeatWater,Not Included,0,1 Year,01-Feb-22,null,600,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceYardBalcony,Outdoors only,Atria Immobilier,6 days ago,Yard,"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesConcierge24 Hour SecurityElevator in Building
1655187846-6089,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4½ Rénové Métro Frontenac à louer Ville-Marie Montréal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-renove-metro-frontenac-a-louer-ville-marie-montreal/1620806352,Ad ID 1620806352,5,4½ Rénové Métro Frontenac à louer Ville-Marie Montréal,"2330 Rue Parthenais, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-renove-metro-frontenac-a-louer-ville-marie-montreal/1620806352#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,300 ",Not Included,Not Included,0,1 Year,01-Aug-22,null,725,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Francis,3 days ago,null,Balcony,null,AmenitiesNot Included
1655191840-7398,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Magnifiques 4 1/2 rénovés avec électroménagers, terrasse et WiFi",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifiques-4-1-2-renoves-avec-electromenagers-terrasse-et-wifi/1614122583,Ad ID 1614122583,9,"Magnifiques 4 1/2 rénovés avec électroménagers, terrasse et WiFi","2692 Châteauguay, Montreal, QC, H3K 1L4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/magnifiques-4-1-2-renoves-avec-electromenagers-terrasse-et-wifi/1614122583#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,795 ",Not Included,Internet,0,1 Year,01-May-22,null,850,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,2692 Châteauguay,about 12 hours ago,Laundry (In Unit),Internet,Dishwasher,AmenitiesNot Included
1655190858-7081,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 a louer a St-Leonard !!!!!Promotion 2 mois Gratuite!!!!,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-a-st-leonard-promotion-2-mois-gratuite/1619351907,Ad ID 1619351907,2,4 1/2 a louer a St-Leonard !!!!!Promotion 2 mois Gratuite!!!!,"6965 rue de Choisy, Saint-Léonard, QC, H1T 2J6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-a-louer-a-st-leonard-promotion-2-mois-gratuite/1619351907#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,328 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Building),No,Personal Outdoor SpaceNot Included,No,Kijiji User,about 16 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConcierge24 Hour Security
1655190852-7079,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3 1/2 a louer a St-Leonard !!!!!Promotion 2 mois Gratuite!!!!,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-a-st-leonard-promotion-2-mois-gratuite/1611660916,Ad ID 1611660916,6,3 1/2 a louer a St-Leonard !!!!!Promotion 2 mois Gratuite!!!!,"6965 rue de Choisy, Saint-Léonard, QC, H1T 2J6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-1-2-a-louer-a-st-leonard-promotion-2-mois-gratuite/1611660916#map,Apartment,Bedrooms: 1,Bathrooms: 1,"$1,036 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,Not Available,No,AppliancesLaundry (In Building)Fridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Domaine Choisy,about 16 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConcierge24 Hour Security
1655193019-7789,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,3.5 Bachelor à Louer/3.5 Bachelor for Rent,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-bachelor-a-louer-3-5-bachelor-for-rent/1611622922,Ad ID 1611622922,null,3.5 Bachelor à Louer/3.5 Bachelor for Rent,"Montreal, Anjou, QC H1M 1V5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/3-5-bachelor-a-louer-3-5-bachelor-for-rent/1611622922#map,Basement,Bedrooms: 1,Bathrooms: 1,Please Contact,Not Included,Not Included,0,1 Year,01-Jul-22,null,2,No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceNot Included,Outdoors only,Kijiji User,about 6 hours ago,Laundry (In Unit),null,null,"DescriptionUn 3.5 dans le Bachelor à Louer :
Le 3.5 est ...
Non chauffé/Non éclairé/Non meublé
Non-fumeur
Pas d'animaux Très bien entretenu et propre. Nouveau luminaires et stores inclus dans l’appartement.
Situé à Anjou, entre le Metro Radisson and le Centre Les Galeries d'Anjou. Excellent endroit: tranquille est très bien situé.Pour prendre un rendez-vous pour visiter l'appartement, est pour plus d'information, SVP appeler le 514-493-1467. (SVP n’écrivez pas de message, vous ne recevrez pas de réponse – svp APPELEZ le numéro indiqué.)A 3.5 in the Bachelor is for Rent:
The apartment is ...
Unheated/Unlighted/Unfurnished
Non-smoking
No pets allowed Very well maintained and clean. New light fixtures and blinds included in the apartment.
The apartment is located in Anjou, between Radisson Metro and Les Galeries d'Anjou Shopping Mall. Very well located: quiet neighborhood and very well situated.To set up an appointment for a visit, or for more information please call 514-493-1467.
(Please do not write messages, you will not receive an answer – please CALL the number indicated above.)Show more"
1655185710-5381,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"STYLE CONDO, RENOVE, BALCONS, COTE-DES-NEIGES",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/style-condo-renove-balcons-cote-des-neiges/1620540705,Ad ID 1620540705,5,"STYLE CONDO, RENOVE, BALCONS, COTE-DES-NEIGES","7471 Ostell Crescent, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/style-condo-renove-balcons-cote-des-neiges/1620540705#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,525 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,"1,200",No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,No,andrew,5 days ago,null,Balcony,null,AmenitiesNot Included
1655192893-7746,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,5 1/2 (3 Chambres)  | Rockhill A Louer - 4858 chemin de la Côte-,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-3-chambres-rockhill-a-louer-4858-chemin-de-la-cote/1596793428,Ad ID 1596793428,15,5 1/2 (3 Chambres)  | Rockhill A Louer - 4858 chemin de la Côte-,"4858 chemin de la Côte-des-Neiges, Montreal, QC, H3V 1G8",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-1-2-3-chambres-rockhill-a-louer-4858-chemin-de-la-cote/1596793428#map,Apartment,Bedrooms: 3,Bathrooms: 2,"$2,609 ",HydroHeatWater,Not Included,0,1 Year,null,null,Not Available,No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Rockhill,about 8 hours ago,Laundry (In Unit),"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPool24 Hour SecurityElevator in Building
1655191027-7138,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Apartment for,to,rent,downtown,Montreal,41/2,2,bedrooms,promotio",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-downtown-montreal-41-2-2-bedrooms-promotio/1601491431,Ad ID 1601491431,8,"Apartment for,to,rent,downtown,Montreal,41/2,2,bedrooms,promotio","1724 cedar, montreal, QC, H3G 1A4",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/apartment-for-to-rent-downtown-montreal-41-2-2-bedrooms-promotio/1601491431#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,695 ",HydroHeatWater,Not Included,0,1 Year,01-Jul-22,null,820,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Cedar-Appartement Urbain,about 15 hours ago,Laundry (In Unit),Balcony,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConciergeBicycle ParkingStorage SpaceElevator in Building
1655187818-6079,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Superbe appartement, Plateau Mt Royal, tout inclus",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-appartement-plateau-mt-royal-tout-inclus/1620799775,Ad ID 1620799775,7,"Superbe appartement, Plateau Mt Royal, tout inclus","Montréal, QC H2J 3E5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/superbe-appartement-plateau-mt-royal-tout-inclus/1620799775#map,Condo,Bedrooms: 2 + Den,Bathrooms: 1,"$2,300 ",HydroHeatWater,Cable / TVInternet,0,Month-to-month,01-Jul-22,null,"1,200",Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,3 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesNot Included
1655187108-5857,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,4 1/2 lumineux à louer maintenant à Lachine,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-lumineux-a-louer-maintenant-a-lachine/1620716267,Ad ID 1620716267,5,4 1/2 lumineux à louer maintenant à Lachine,"Avenue Windsor, Lachine, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/4-1-2-lumineux-a-louer-maintenant-a-lachine/1620716267#map,Apartment,Bedrooms: 2,Bathrooms: 1,$925 ,Not Included,Not Included,0,1 Year,15-Jun-22,null,920,No,AppliancesNot Included,No,Personal Outdoor SpaceBalcony,No,Kijiji User,4 days ago,null,Balcony,null,AmenitiesNot Included
1655183226-4551,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Condo 2 bedrooms 1 bath in Mont-Royal,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-2-bedrooms-1-bath-in-mont-royal/1619950226,Ad ID 1619950226,7,Condo 2 bedrooms 1 bath in Mont-Royal,"Montreal, QC H2J 4B7",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/condo-2-bedrooms-1-bath-in-mont-royal/1619950226#map,Condo,Bedrooms: 2,Bathrooms: 1,"$1,760 ",HydroHeatWater,Not Included,0,1 Year,30-Jun-22,null,840,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,Kijiji User,9 days ago,Laundry (In Unit),"<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesStorage SpaceElevator in Building
1655193072-7807,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Grand 3 1/2 a louer 6877 24 ieme avenue  Montréal 850$/mois. Dis,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-a-louer-6877-24-ieme-avenue-montreal-850-mois-dis/1621237532,Ad ID 1621237532,null,Grand 3 1/2 a louer 6877 24 ieme avenue  Montréal 850$/mois. Dis,"24e Avenue, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/grand-3-1-2-a-louer-6877-24-ieme-avenue-montreal-850-mois-dis/1621237532#map,Apartment,Bedrooms: 1,Bathrooms: 1,$850 ,Not Included,Not Included,0,1 Year,01-Jul-22,null,1,No,AppliancesNot Included,No,Personal Outdoor SpaceNot Included,Outdoors only,Marcos,about 5 hours ago,null,null,null,AmenitiesNot Included
1655191105-7163,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"Penthouse condo locatif LUXE 4 1/2, Quartier des spectacles",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/penthouse-condo-locatif-luxe-4-1-2-quartier-des-spectacles/1611757683,Ad ID 1611757683,13,"Penthouse condo locatif LUXE 4 1/2, Quartier des spectacles","1445 rue Clark, Montreal, QC, H2X 2R1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/penthouse-condo-locatif-luxe-4-1-2-quartier-des-spectacles/1611757683#map,Condo,Bedrooms: 2,Bathrooms: 2,"$3,195 ",HydroHeatWater,Not Included,0,1 Year,01-Sep-22,null,"1,012",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceBalcony,No,Myriade,about 15 hours ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655191030-7139,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,LUXUEUX 4 1/2 à louer Cité Dix30 / 1 020 p2 : Brossard,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/luxueux-4-1-2-a-louer-cite-dix30-1-020-p2-:-brossard/1618195842,Ad ID 1618195842,9,LUXUEUX 4 1/2 à louer Cité Dix30 / 1 020 p2 : Brossard,"LaSalle, QC H8N 1X1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/luxueux-4-1-2-a-louer-cite-dix30-1-020-p2-:-brossard/1618195842#map,Condo,Bedrooms: 2,Bathrooms: 4.5,"$1,700 ",HydroHeatWater,Internet,1,1 Year,15-Jul-22,null,"1,020",No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYardBalcony,Outdoors only,Kijiji User,about 15 hours ago,Laundry (In Unit),Internet,"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesPoolConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655188488-6300,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,"5 et demi à louer Rosemont (3 chambres fermées, non-meublé)",https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-et-demi-a-louer-rosemont-3-chambres-fermees-non-meuble/1620897627,Ad ID 1620897627,5,"5 et demi à louer Rosemont (3 chambres fermées, non-meublé)","Montréal, QC H1T 2Y6",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/5-et-demi-a-louer-rosemont-3-chambres-fermees-non-meuble/1620897627#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,500 ",Not Included,Not Included,1,1 Year,24-Jul-22,null,900,No,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,No,Isabelle Picard,3 days ago,Laundry (In Unit),Balcony,Dishwasher,AmenitiesBicycle Parking
1655188655-6356,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Ville-Marie - Superbe 5 1/2 Rénové au 3e Étage - Métro Papineau,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ville-marie-superbe-5-1-2-renove-au-3e-etage-metro-papineau/1620921900,Ad ID 1620921900,null,Ville-Marie - Superbe 5 1/2 Rénové au 3e Étage - Métro Papineau,"1587 Rue Cartier, Montréal, QC, H2K 4E1",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/ville-marie-superbe-5-1-2-renove-au-3e-etage-metro-papineau/1620921900#map,Apartment,Bedrooms: 3,Bathrooms: 1,"$1,690 ",HydroHeatWater,Not Included,0,1 Year,11-Jun-22,null,"1,000",No,AppliancesLaundry (In Unit)Laundry (In Building)DishwasherFridge / Freezer,No,Personal Outdoor SpaceBalcony,Outdoors only,1587 Rue Cartier,2 days ago,Laundry (In Unit),Laundry (In Building),"<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesStorage Space
1655184101-4846,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,1 mois gratuit - Prestigieux 3 1/2 à louer,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-prestigieux-3-1-2-a-louer/1609682104,Ad ID 1609682104,null,1 mois gratuit - Prestigieux 3 1/2 à louer,"329 Notre-Dame Street East, Montréal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/1-mois-gratuit-prestigieux-3-1-2-a-louer/1609682104#map,Condo,Bedrooms: 1,Bathrooms: 1,"$1,950 ",HydroHeatWater,Not Included,1,1 Year,06-Jun-22,null,700,Yes,AppliancesLaundry (In Unit)DishwasherFridge / Freezer,Yes,Personal Outdoor SpaceYard,No,Kijiji User,7 days ago,"<svg aria-label=""Yes: Hydro"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Hydro","<svg aria-label=""Yes: Heat"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Heat","<svg aria-label=""Yes: Water"" class=""icon-459822882 yesNoIcon-2594104508 yesIcon-3014691322"" height=""100%"" width=""100%"" role=""img""><use xlink:href=""#icon-yes""></use></svg>Water",AmenitiesGymConcierge24 Hour SecurityBicycle ParkingStorage SpaceElevator in Building
1655184195-4878,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Beau 4 1/2 à louer P-A-T,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-4-1-2-a-louer-p-a-t/1610620540,Ad ID 1610620540,7,Beau 4 1/2 à louer P-A-T,"Pointe-aux-Trembles, QC H1A 1Y5",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/beau-4-1-2-a-louer-p-a-t/1610620540#map,Apartment,Bedrooms: 2,Bathrooms: 1,"$1,350 ",Not Included,Not Included,0,1 Year,01-Jul-22,null,1,No,AppliancesNot Included,Yes,Personal Outdoor SpaceBalcony,No,Marisha,7 days ago,null,Balcony,null,AmenitiesNot Included
1655190548-6985,https://www.kijiji.ca/b-appartement-condo/ville-de-montreal/c37l1700281,Bright and spacious 3 bedroom condo- Little Burgundy,https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-and-spacious-3-bedroom-condo-little-burgundy/1621133804,Ad ID 1621133804,7,Bright and spacious 3 bedroom condo- Little Burgundy,"595 Richmond Street, Montreal, QC",(View Map),https://www.kijiji.ca/v-appartement-condo/ville-de-montreal/bright-and-spacious-3-bedroom-condo-little-burgundy/1621133804#map,Condo,Bedrooms: 3,Bathrooms: 1,"$2,400 ",Not Included,Not Included,1,1 Year,01-Jul-22,null,"1,000",No,AppliancesLaundry (In Unit),No,Personal Outdoor SpaceBalcony,No,Kijiji User,about 18 hours ago,Laundry (In Unit),Balcony,null,AmenitiesNot Included
